DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
Pasco Foods recalls several varieties of cooking sauces because of a lack of microbiological controls,Recalled,Manufacturing controls that could potentially adversely affect the safety of the products listed above could not be demonstrated satisfactorily by the company. The issue relates to controlling factors to prevent the growth and toxin production of Clostridium Botulinum.. Botulinum toxin may cause a serious form of food poisoning called botulism and can be fatal.. A recall from customers is being carried out as a precautionary measure.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-45-2019,2019-10-11
Birds Eye recalls certain batch codes of 50 Chicken Nuggets as they may contain small pieces of plastic,Recalled,The product may contain small pieces of plastic which makes it unsafe to eat.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-46-2019,2019-10-15
Bernard Matthews recalls 9 Turkey Dinosaurs because they may contain small pieces of metal,Recalled,The product may contain small pieces of metal which makes it unsafe to eat.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-47-2019,2019-10-19
Zorba Delicacies Limited recalls various houmous products because of the possible presence of salmonella,Recalled,"The products listed above might be contaminated with salmonella. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-48-2019,2019-10-29
Updated: Zorba Delicacies Limited recalls various houmous products because of the possible presence of salmonella,Recalled,"The products listed above might be contaminated with salmonella. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-48-2019-update-1,2019-10-31
Update 2: Zorba Delicacies Limited recalls various houmous products because of the possible presence of salmonella,Recalled,"The products listed above might be contaminated with salmonella. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-48-2019-update-2,2019-11-03
Pots & Co recalls a variety of desserts because they may contain pieces of glass,Recalled,"These products may contain pieces of glass, which presents a possible health risk.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-49-2019,2019-11-12
Darwin?s Dairy recalls milk and cream products because of a potential breakdown in pasteurisation procedures,Recalled,"The possible presence of harmful bacteria such as E. coli in the products listed above.. Symptoms caused by E. coli include diarrhoea, abdominal pain, bloody diarrhoea, and haemolytic uremic syndrome, a serious condition that can lead to kidney failure and can be fatal. Other harmful bacteria may be present that may cause other symptoms. If you have consumed these products and feel unwell, you are advised to seek medical advice.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-50-2019,2019-11-27
Yaadgaar recalls Rasmalai due to contamination with Listeria monocytogenes,Recalled,"The presence of Listeria monocytogenes in the product listed above.. Symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea. However, in rare cases, the infection can be more severe, causing serious complications, such as meningitis.. Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-51-2019,2019-12-13
Heinz and Tesco recall 7+ months Heinz By Nature baby food jars because a product purchased from Tesco has been tampered with,Recalled,The possible presence of sharp metal fragments makes this product unsafe to eat and presents a safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-52-2019,2019-12-18
THIS UK recalls two THIS Isn?t Chicken plant-based products because of incorrect date labelling,Recalled,The affected products have been labelled with incorrect ?use by' dates in December 2020 and may be unsafe to eat after the intended 'use by' dates in January 2020.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-53-2019,2019-12-24
