DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
P & B Foods extends its recall of Heera Chilli Powder Extra Hot because of the presence of salmonella,Recalled,"The presence of salmonella in the product listed above. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-30-2019-update-1,2019-07-02
Iceland recalls 60 Crispy Chicken Dippers as they may contain pieces of hard plastic,Recalled,This product may contain pieces of hard plastic which makes the product unsafe to eat.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-31-2019-update-1,2019-07-15
Tesco recalls 4 flavours of Tesco Finest Fruit Presse because of fermentation,Recalled,Spoilage of the products. The products potentially present a risk to health because they have fermented and as a result pressure may have built up in the bottles which could cause them to explode.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-34-2019,2019-07-22
Quorn Foods recalls Quorn Cocktail Sausages because they may contain small pieces of metal,Recalled,The presence of metal makes this product unsafe to eat and presents a safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-35-2019,2019-07-23
"Raw Treat Pet Food Ltd recalls Frozen Raw Beef, Chicken, Lamb, and Chicken & Tripe Pet Food due to the presence of Listeria monocytogenes",Recalled,"The presence of Listeria monocytogenes in the products listed above. Listeria monocytogenes is a bacterium that can cause illness in humans and animals. The product could therefore carry a potential risk either through direct handling of the pet food, or indirectly, for example from pet feeding bowls, utensils or contact with the faeces of animals.. In humans, symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea. However, in rare cases, the infection can be more severe, causing serious complications, such as meningitis.. Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-36-2019,2019-07-30
Aldi recalls Key Lime and Millionaire?s Cheesecakes because the glass pots may break,Recalled,The glass pots containing the products may break which could present a safety risk.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-37-2019,2019-08-02
Raw Treat Pet Food Ltd recalls Varieties of Frozen Raw Pet Food due to the presence of Salmonella,Recalled,"The presence of Salmonella in the products listed above. Salmonella is a bacterium that can cause illness in humans and animals. The product could therefore carry a potential risk, because of the presence of Salmonella, either through direct handling of the pet food, or indirectly, for example from pet feeding bowls, utensils or contact with the faeces of animals. In humans, symptoms caused by Salmonella usually include fever, diarrhoea and abdominal cramps. Infected animals may not necessarily display signs of illness, but symptoms can include diarrhoea.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-38-2019,2019-08-13
Raw Treat Pet Food Ltd recalls varieties of frozen raw beef pet food due to the presence of salmonella,Recalled,"The presence of salmonella in the products listed above. Salmonella is a bacterium that can cause illness in humans and animals. The products could therefore carry a potential risk, because of the presence of salmonella, either through direct handling of the pet food, or indirectly, for example from pet feeding bowls, utensils or contact with the faeces of animals. In humans, symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps. Infected animals may not necessarily display signs of illness, but symptoms can include diarrhoea.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-39-2019,2019-08-30
Struik Foods recalls Bunlimited Crispy Onions because they may contain small pieces of metal,Recalled,The presence of metal makes this product unsafe to eat.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-40-2019,2019-09-12
Booths recalls Traditional Coleslaw because the product may contain plastic pieces,Recalled,The presence of plastic makes this product unsafe to eat.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-41-2019,2019-09-13
Soupologie recalls soup products because of possible contamination with Listeria monocytogenes,Recalled,"The products listed above may be contaminated with Listeria monocytogenes.. Symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea. Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-42-2019,2019-09-14
Pipers Crisps recalls varieties of crisps because of possible contamination with Listeria Monocytogenes,Recalled,"The products listed above may be contaminated with Listeria monocytogenes.. Symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea. Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.",https://www.food.gov.uk/news-alerts/alert/fsa-prin-43-2019,2019-09-20
Lidl Northern Ireland recalls three products as the cooking instructions are not in English,Recalled,?The cooking instructions on the above products are not written in English. This means there is a risk the cooking instructions are unclear and the products may not be thoroughly cooked before being eaten.,https://www.food.gov.uk/news-alerts/alert/fsa-prin-44-2019,2019-09-23
