RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
28,James Hall recalls BBQ Pulled Pork because it may contain Salmonella,Recalled,"The products listed above might be contaminated with salmonella. Symptoms caused by salmonella usually include fever, diarrhoea and abdominal cramps.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-01-2018,2018-01-18
29,Sushi Daily recalls its Sushigari (ginger) because it may contain small pieces of glass,Recalled,Products may contain small pieces of glass which could represent a safety risk. ,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-02-2018,2018-01-29
30,Muscle Food recalls certain meat products due to incorrect use by date labelling,Recalled,"The affected products have been labelled with incorrect use by dates, and therefore could be inadvertently eaten past the date by which they can be safely consumed. A recall from affected customers is being carried out.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-03-2018,2018-02-08
31,Gluten Free Foods Ltd recalls Barkat Organic Gluten Free Porridge Flakes  ,Recalled,Barkat Organic Gluten Free Porridge is being recalled because of contamination by moths and moth larvae.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-04-2018,2018-02-09
32,Quorn recalls its Chilled Quorn? Tikka Masala with Basmati Rice 400g product because it may contain pieces of rubber,Recalled,Products may contain pieces of flexible rubber which could represent a safety risk.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-05-2018,2018-02-13
33,Young?s recalls Chip Shop Fish Cakes because they may contain pieces of plastic and metal,Recalled,Products may contain pieces of hard plastic and metal which could represent a safety risk. ?,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-06-2018,2018-02-15
34,Taipec Ltd recalls packs of 'Yuki & Love' mango flavoured and litchi flavoured jelly due to potential choking hazard,Recalled,The above products contain konjac powder which presents a choking hazard.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-07-2018,2018-02-20
35,Booker recalls Happy Shopper Tomato Ketchup because it may contain pieces of plastic,Recalled. ,Products may contain pieces of plastic which could represent a safety risk. ?,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-08-2018,2018-02-21
36,IKEA recalls its GODIS P?SKKYCKLING Marshmallow candy due to possible mice infestation,Recalled,Product may have been subject to mice infestation which makes it unsafe to eat. ,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-09-2018,2018-02-23
37,AKM Foods Limited recalls Zaiqa GoGo Pan Masala Mouth Freshener because it contains Rhodamine B,Recalled,Rhodamine B is an illegal dye which may pose a risk to health.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-10-2018,2018-03-01
38,Waitrose recalls Waitrose New York Cheesecake because it may contain strands of plastic,Recalled,"Product may contain very thin strands of plastic, which makes it unsafe to eat.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-11-2018,2018-03-05
39,Aytac Foods recalls Aycan Risotto Rice and Aycan Brown Rice due to possible insect (weevil) infestation,Recalled,Products may have been subject to insect (weevil) infestation which make them unsafe to eat.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-12-2018,2018-03-13
40,Monolith (UK) Ltd recalls Pig?s Ears boiled-smoked vacuum because of the presence of Listeria monocytogenes,Recalled,"The presence of Listeria monocytogenes in the product listed above. Symptoms caused by this organism can be similar to flu and include high temperature, muscle ache or pain, chills, feeling or being sick and diarrhoea. However, in rare cases, the infection can be more severe, causing serious complications, such as meningitis. Some people are more vulnerable to listeria infections, including those over 65 years of age, pregnant women and their unborn babies, babies less than one month old and people with weakened immune systems.",https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-13-2018,2018-03-14
41,AKM Foods Limited recalls further Zaiqa GoGo Pan Masala Mouth Freshener products because they contain Rhodamine B,Recalled,Rhodamine B is an illegal dye which may pose a risk to health.,https://www.food.gov.uk/news-alerts/alert/FSA-PRIN-10-2018-update-01,2018-03-26
